"date","num_casos","Population2020","daily_cases_per100k","daily_cases_per100k_mavg","location_google","provincia_iso"
2020-05-24,317,47450795,0.668060461368455,1.01488590142995,"Spain total","ES"
2020-05-25,571,47450795,1.20335180896337,1.01879973018065,"Spain total","ES"
2020-05-26,564,47450795,1.18859968521075,1.0106710089292,"Spain total","ES"
2020-05-27,435,47450795,0.916739118912549,0.995316757676482,"Spain total","ES"
2020-05-28,517,47450795,1.08954971144319,0.997123140176802,"Spain total","ES"
2020-05-29,501,47450795,1.05583057143721,0.973640167672639,"Spain total","ES"
2020-05-30,316,47450795,0.665953015118082,0.969726338921945,"Spain total","ES"
2020-05-31,235,47450795,0.495249868837814,0.945039111417567,"Spain total","ES"
2020-06-01,448,47450795,0.944135920167407,0.908008270161001,"Spain total","ES"
2020-06-02,416,47450795,0.876697640155449,0.863450835153101,"Spain total","ES"
2020-06-03,450,47450795,0.948350812668154,0.867966791403901,"Spain total","ES"
2020-06-04,417,47450795,0.878805086405823,0.837860416398563,"Spain total","ES"
2020-06-05,496,47450795,1.04529334018534,0.836355097648296,"Spain total","ES"
2020-06-06,263,47450795,0.554258363848277,0.820398718895467,"Spain total","ES"
2020-06-07,238,47450795,0.501572207588935,0.821301910145627,"Spain total","ES"
2020-06-08,434,47450795,0.914631672662176,0.81708701764488,"Spain total","ES"
2020-06-09,369,47450795,0.777647666387887,0.802937021392371,"Spain total","ES"
2020-06-10,372,47450795,0.783970005139008,0.779454048888207,"Spain total","ES"
2020-06-11,337,47450795,0.710209386375929,0.755368948883936,"Spain total","ES"
2020-06-12,367,47450795,0.773432773887139,0.71653172512705,"Spain total","ES"
2020-06-13,164,47450795,0.345621185061283,0.686726413871765,"Spain total","ES"
2020-06-14,197,47450795,0.415166911323614,0.674382800119577,"Spain total","ES"
2020-06-15,333,47450795,0.701779601374434,0.643975361364185,"Spain total","ES"
2020-06-16,308,47450795,0.649093445115092,0.625610472610929,"Spain total","ES"
2020-06-17,303,47450795,0.638556213863224,0.604837073857245,"Spain total","ES"
2020-06-18,305,47450795,0.642771106363971,0.595203033855537,"Spain total","ES"
2020-06-19,294,47450795,0.619589197609861,0.57322538010164,"Spain total","ES"
