"ORIGEN","DESTINO","O_D","Nombre_Zona_origin","NUTS_CNTR_CODE_origin","NUTS_ID_origin","Nombre_Zona_destination","NUTS_CNTR_CODE_destination","NUTS_ID_destination","xcoord_origin","ycoord_origin","xcoord_destination","ycoord_destination","mode","counts"
"ES01","ES11","ES01_ES11","Araba/Alava","ES","ES211","Cadiz","ES","ES612",-2.68598435098573,42.8695986935993,-5.76446774003969,36.5603616791138,"plane",0
"ES01","ES11","ES01_ES11","Araba/Alava","ES","ES211","Cadiz","ES","ES612",-2.68598435098573,42.8695986935993,-5.76446774003969,36.5603616791138,"ferry",0
"ES01","ES11","ES01_ES11","Araba/Alava","ES","ES211","Cadiz","ES","ES612",-2.68598435098573,42.8695986935993,-5.76446774003969,36.5603616791138,"all trips",13118
"ES01","ES12","ES01_ES12","Araba/Alava","ES","ES211","Castellon/Castello","ES","ES522",-2.68598435098573,42.8695986935993,-0.132751734097723,40.2469282160128,"car",43646
"ES01","ES12","ES01_ES12","Araba/Alava","ES","ES211","Castellon/Castello","ES","ES522",-2.68598435098573,42.8695986935993,-0.132751734097723,40.2469282160128,"bus",0
"ES01","ES12","ES01_ES12","Araba/Alava","ES","ES211","Castellon/Castello","ES","ES522",-2.68598435098573,42.8695986935993,-0.132751734097723,40.2469282160128,"train",0
"ES01","ES12","ES01_ES12","Araba/Alava","ES","ES211","Castellon/Castello","ES","ES522",-2.68598435098573,42.8695986935993,-0.132751734097723,40.2469282160128,"plane",0
"ES01","ES12","ES01_ES12","Araba/Alava","ES","ES211","Castellon/Castello","ES","ES522",-2.68598435098573,42.8695986935993,-0.132751734097723,40.2469282160128,"ferry",0
"ES01","ES12","ES01_ES12","Araba/Alava","ES","ES211","Castellon/Castello","ES","ES522",-2.68598435098573,42.8695986935993,-0.132751734097723,40.2469282160128,"all trips",43646
"ES01","ES13","ES01_ES13","Araba/Alava","ES","ES211","Ciudad Real","ES","ES422",-2.68598435098573,42.8695986935993,-3.84449395529323,38.929216429385,"car",16976
"ES01","ES13","ES01_ES13","Araba/Alava","ES","ES211","Ciudad Real","ES","ES422",-2.68598435098573,42.8695986935993,-3.84449395529323,38.929216429385,"bus",614
"ES01","ES13","ES01_ES13","Araba/Alava","ES","ES211","Ciudad Real","ES","ES422",-2.68598435098573,42.8695986935993,-3.84449395529323,38.929216429385,"train",0
"ES01","ES13","ES01_ES13","Araba/Alava","ES","ES211","Ciudad Real","ES","ES422",-2.68598435098573,42.8695986935993,-3.84449395529323,38.929216429385,"plane",0
"ES01","ES13","ES01_ES13","Araba/Alava","ES","ES211","Ciudad Real","ES","ES422",-2.68598435098573,42.8695986935993,-3.84449395529323,38.929216429385,"ferry",0
"ES01","ES13","ES01_ES13","Araba/Alava","ES","ES211","Ciudad Real","ES","ES422",-2.68598435098573,42.8695986935993,-3.84449395529323,38.929216429385,"all trips",17589
"ES01","ES14","ES01_ES14","Araba/Alava","ES","ES211","Cordoba","ES","ES613",-2.68598435098573,42.8695986935993,-4.79928446012764,37.9610335657501,"car",13127
"ES01","ES14","ES01_ES14","Araba/Alava","ES","ES211","Cordoba","ES","ES613",-2.68598435098573,42.8695986935993,-4.79928446012764,37.9610335657501,"bus",635
"ES01","ES14","ES01_ES14","Araba/Alava","ES","ES211","Cordoba","ES","ES613",-2.68598435098573,42.8695986935993,-4.79928446012764,37.9610335657501,"train",0
"ES01","ES14","ES01_ES14","Araba/Alava","ES","ES211","Cordoba","ES","ES613",-2.68598435098573,42.8695986935993,-4.79928446012764,37.9610335657501,"plane",0
"ES01","ES14","ES01_ES14","Araba/Alava","ES","ES211","Cordoba","ES","ES613",-2.68598435098573,42.8695986935993,-4.79928446012764,37.9610335657501,"ferry",0
"ES01","ES14","ES01_ES14","Araba/Alava","ES","ES211","Cordoba","ES","ES613",-2.68598435098573,42.8695986935993,-4.79928446012764,37.9610335657501,"all trips",13762
"ES01","ES15","ES01_ES15","Araba/Alava","ES","ES211","A Coruna","ES","ES111",-2.68598435098573,42.8695986935993,-8.47853830273453,43.0892158335483,"car",58523
"ES01","ES15","ES01_ES15","Araba/Alava","ES","ES211","A Coruna","ES","ES111",-2.68598435098573,42.8695986935993,-8.47853830273453,43.0892158335483,"bus",212
"ES01","ES15","ES01_ES15","Araba/Alava","ES","ES211","A Coruna","ES","ES111",-2.68598435098573,42.8695986935993,-8.47853830273453,43.0892158335483,"train",1257
"ES01","ES15","ES01_ES15","Araba/Alava","ES","ES211","A Coruna","ES","ES111",-2.68598435098573,42.8695986935993,-8.47853830273453,43.0892158335483,"plane",0
